"id","name","address","city"
"30092","BKP LOUROSA","R. Central 3198","Lourosa"
"28941","BKP E.Elecler Lousada","Rua do Comércio, nº 60, 4620-830 Boim, LOUSADA","Lousada"
"28700","BK MADALENA PICO","Novo Caminho Municipal Escola cardeal Costa Nunes, S/N","Madalena do Pico"
"26368","BK MALVEIRA","Estrada Nacional Nº 8","Mafra"
"27910","BKP MAFRA","R. Alm. Gago Coutinho n. 7 2640-487","Mafra"
"21595","BK MAIA","Avenida Dom Manuel II 1385, Lugar de Real","Maia"
"22764","BK ERMESINDE","Rua Dr. José Rodrigues Cosgaya, nº18","Maia"
"29675","BK MANGUALDE","Rua da Igreja nº 232","Mangualde"
"28121","BK MARCO CANAVESES","Gaveto Av. Dr. Francisco Sá Carneiro e Rua da Portela","Marco de Canaveses"
"19567","BK MATOSINHOS","Rua Silva Pinheiro, 170","Matosinhos"
"26750","BKP MATOSINHOS","RUA DE SOUSA AROSO Nº22-24","Matosinhos"
"16675","BK IKEA MATOSINHOS","Avenida Arquitecto Fernando Távora - Centro Comercial Ikea Loja 105","Matosinhos"
"23518","BK MONTES BURGOS","Rua Nova do Seixo, nº 780","Matosinhos"
"21809","BK MONCAO","Monte da Mina, Lodeira","Monção"
"28061","BK MONTEMOR O NOVO","Gaveto da estrada Nacional N4 com a N114","Montemor-o-Velho"
"15310","BK FORUM MONTIJO","Zona Industrial do Pau Queimado - R. da Azinheira, Afonsoeeiro - Forum Montijo Loja 1.22","Montijo"
"27911","BKP MONTIJO","Estrada Nacional 5 Alto Estanqueiro, Alto Do Estanqueiro","Montijo"
"28948","BKP NAZARE","Avenida Nogent-Sur-Marne, n.º 23 - 2450-138 Nazaré","Nazaré"
"21361","BK OEIRAS","Rua Coro de Santo Amaro de Oeiras - Lote E","Oeiras"
"27603","BK QUINTA DO MARQUES","Quinta do Marquês, Lote 65","Oeiras"
"28119","BKP OLIVEIRA DE AZEMEIS","Av. Dona Maria I, 23, 3720-919, Oliveira De Azemeis, Portugal. Portugal","Oliveira De Azeméis"
"30464","BKP OUREM","Rua Dr. Joaquim Francisco Alves","Ourém"
"15988","BK DV OVAR","Centro Comercial Dolce Vita Ovar, Av. D.Manuel I Zona ind. Ovar Loja 028","Ovar"
"28062","BK PACOS DE FERREIRA","Rua D. Afonso III","Paços de Ferreira"
"24193","BK PALMELA","Av. Visconde Tojal, Nº3","Palmela"
"27136","BK PAREDES","Rua da Igreja Velha","Paredes"
"23517","BK PENAFIEL","Gaveto Rua Tenente Valadim e Rua Fonte da Cruz","Penafiel"
"28955","BKP Peniche","Parque do Baluarte, Av. 25 de Abril, 2520-202 Peniche","Peniche"
"29026","BKP PINHAL NOVO","Rua Luís de Camões","Pinhal Novo"
"21815","BK POMBAL","Rua Prof.Carlos Alberto Mota Pinto, 114/116","Pombal"
"16616","BK PORTAS DO MAR","Galerias Comerciais Portas do Mar, Lj 7 Av. Marginal de Ponta Delgada 9500 – Ponta Delgada","Ponta Delgada"
"20551","BK FAJA","Rua do Loreto N.º 1, Fajã de Baixo","Ponta Delgada"
"22942","BK PORTALEGRE","Rua Joinal S/N, Lugar do Gaveto","Portalegre"
"13792","BK NORTESHOPPING","NorteShopping, loja 1129, R. Sara Afonso, 105/117","Porto"
"15303","BK ANTAS DV","CC Dolce Vita Porto, Loja 408 Av. Dos Campeões Europeus Viena 87 nºs 28,34,140,168 e 198","Porto"
"24903","BK BOAVISTA","Avenida da Boavista 2596","Porto"
"26763","BKP SAO MAMEDE","Rua Armindo Mendes, n.º 50","Porto"
"30281","BKP FABRICA DO COBRE","Rua das Linhas de Torres 56","Porto"
"16933","BK PRIO POVOA","Burger King, Av. 25 de Abril","Povoa de Varzim"
"28709","BK RIO MAIOR","Av Dr Mario Soares","Rio Maior"
"27604","BKP PORTOALTO","Avenida das Nações Unidas Nº 37 R/C Dto, 2135- 114 Samora Correia, Portugal","Samora Correia"
"26042","BK SANTAREM","Av. Prof. Dr. Joaquim Veríssimo Serrão, Casal Salmeirim -Vale Estacas","Santarem"
"29349","BK ENTRONCAMENTO","Rua Doutor Francisco Sa Carneiro, 45","Santarém"
"26370","BK SANTO TIRSO","Rua das Rás, Couto – Sta Cristina","Santo Tirso"
"16193","BK SJOAO MADEIRA","Centro Comercial 8ª Avenida, loja 1038, Av. Dr. Renato Araújo","São João de Madeira"
"21546","BK CRUZ DE PAU","Praceta Quinta Pinheiros e Girassois","Seixal"
"28964","BKP CORROIOS","Rua Bento Gonçalves, Estrada Nacional nº10, Km 6,675, Santa Marta de Corroios","Seixal"
"29893","BK RIO SUL","RioSul Shopping, Loja 1029, Av. Libertadores de Timor Loro Sae","Seixal"
"26060","BK QUINTA DO CONDE","EN 10 - QUINTA DO CONDE","Sesimbra"
"28708","BKP SESIMBRA","Rua Quinta do Sobreiro, n.º 31","Sesimbra"
"24521","BK SETUBAL","Praça da Independência nr 18","Setubal"
"28484","BKP SINES","Loteamento Municipal a Norte da R52, lote 87520 - SINES","SINES"
"19430","BK MEM MARTINS","Rua António Feijó, Edificio Burger King","Sintra"
"21547","BK CACEM","Rua da Ilha Terceira, IC19 Saída Cacém Poente / Paiões","Sintra"
"22813","BK ANTA","RUA GENERAL JOAQUIM FILIPE NERY DELGADO","Sintra"
"28880","BK QUELUZ","Av. Comandante Paiva Couceiro","Sintra"
"29177","BKP Tagus Park Oeiras","Estrada de Sao Marcos 1","Sintra"
"28562","BKP TOMAR","Av. De Dr. Aurelio Ribeiro, nº 59-I, Palhava, uniao de Pregresias de Tomar 2300-305","Tomar"
"27909","BKP Torres Novas","Rotunda Xanana Gusmao, nº 1 - 2350-399 Torees Novas","Torres Novas"
"16265","BK TORRES VEDRAS","C. C. Arena shopping, loja 2017","Torres Vedras"
"28699","BK DRIVE TORRES VEDRAS","Rua António Leal D`Ascenção","Torres Vedras"
"28563","BKP TROFA","Rua das Indústrias 657 BOUGADO, 4785-624 Trofa, Portugal","Trofa"
"28160","BK VALONGO","Rua Julião Sarmento nº 285, CC Valongo, Loja 40","Valongo"
"25211","BK ALFENA","Rua Primeiro de Maio, n 340","Valongo"
"27203","BK VIANA DRIVE","QUINTO DE S. BRÁS, E.N. 13, LUGAR DE, R. São Brás","Viana do Castelo"
"27411","BK VILA NOVA DE CERVEIRA","Rua Martins Vicente, União das freguesias Vila Nova de Cerveira e Lovelhe","Viana do Castelo"
"21769","BK VILA CONDE","Rua 5 de Outubro, Alto da Pêga","Vila Do Conde"
"26900","BKP VILAFRANCA DE XIRA","Rua Maria Teresa Palha nº 18 - POVOS, 2600-277, Vila Franca de Xira, Portugal","Vila Franca de Xira"
"21816","BK FAMALICAO","Avenida Marechal Humberto Delgado, Lugar da Ponte, Freguesias de Antas e Abade Vermoim","Vila Nova de Famalicao"
"17333","BK NO DO FOJO","Rua da Bélgica e Rua Nova do Fojo - Quinta do Fojo, Lugar das Lavouras ( Junto á area de serviço da BP)","Vila Nova de Gaia"
"24693","BK GAIA","Rua Joaquim Nicolau de Almeida, Mafamude Vila Nova de Gaia 4430-117 Portugal","Vila Nova de Gaia"
"26607","BK GAIA JARDIM","Avenida dos Escultores 119","Vila Nova de Gaia"
"28795","BK VILAR DE ANDORINHO","Rua das Colectividades (Monte da Virgem)","Vila Nova de Gaia"
"29655","BK GAIA SHOPPING","Gaiashopping Av dos Descobrimentos, 549, loja 254","Vila Nova de Gaia"
"15130","BK VILA REAL","CC Dolce Vita Douro, loja nº 245 Alameda da grasse","VIla Real"
"24277","BK DRIVE VILA REAL","RUA FONTE NOVA","Vila Real"
"29020","BKP V.R. SANTO ANTONIO","Av. Fernando Salgueiro Maia, Nº 110, Hortas 8900 265","Vila Real de Santo António"
"29672","BK VILA VERDE","Avª António Sérgio nº 240","Vila Verde"
"21078","BK FORUM VISEU","C C FORUM VISEU LOJA 2.02, Rua D. José da Cruz Moreira Pinto 32","Viseu"
"23525","BK VISEU","Estrada Velha de Abraveses, 147","Viseu"
"25862","BK VIZELA","R. Armindo Freitas, Caldas de Vizela","Vizela"
